,0
0,foliointerno
1,_id
2,Usuario.razonSocial
3,Productos.idLocal
4,Productos.unidades
5,Productos.cantidad
6,Productos.importe
7,Especificaciones.estructura
8,Especificaciones.tipo
9,Especificaciones.calibreECT
10,Especificaciones.caraExterior
11,Especificaciones.largo
12,Especificaciones.ancho
13,Especificaciones.alto
14,Especificaciones.tipoUnion
15,Especificaciones.suaje
16,Productos.precioUnitario
17,precios.precioGeneralm2
18,fechaEmision
19,Especificaciones.longitudLamina
20,Especificaciones.anchoLamina
21,areaM2
22,precioListaMillares
